Adversarial Examples,Time(s),Length of Adversarial Examples
"(7.0, 46.0, 46.0, 45.0, 45.0, 46.0, 7.0, 7.0, 42.0, 7.0, 42.0)",140.372,11
"(30.0, 28.0, 28.0, 29.0, 29.0, 5.0, 30.0, 30.0, 5.0, 29.0, 28.0)",140.51,11
"(27.0, 3.0, 3.0, 31.0, 31.0, 28.0, 27.0, 27.0, 28.0, 24.0, 24.0)",324.539,11
"(34.0, 54.0, 54.0, 29.0, 29.0, 30.0, 34.0, 34.0, 56.0, 61.0, 61.0, 61.0)",324.634,12
"(18.0, 0.0, 0.0, 10.0, 10.0, 37.0, 18.0, 18.0, 4.0, 0.0, 0.0, 0.0)",324.729,12
"(59.0, 54.0, 54.0, 55.0, 55.0, 37.0, 59.0, 8.0, 54.0, 58.0)",529.057,10
"(22.0, 41.0, 41.0, 0.0, 0.0, 9.0, 22.0, 45.0, 0.0, 0.0, 0.0)",529.226,11
"(53.0, 30.0, 30.0, 26.0, 26.0, 24.0, 53.0, 53.0, 36.0, 12.0, 53.0, 36.0, 36.0)",996.667,13
"(43.0, 45.0, 45.0, 39.0, 39.0, 61.0, 43.0, 43.0, 42.0, 47.0, 47.0, 39.0)",997.306,12
"(48.0, 17.0, 17.0, 54.0, 54.0, 52.0, 48.0, 48.0, 61.0, 60.0, 60.0, 17.0, 17.0)",997.364,13
"(59.0, 58.0, 58.0, 24.0, 24.0, 5.0, 59.0, 59.0, 21.0, 9.0, 59.0, 46.0, 21.0, 21.0)",10891.409,14
"(21.0, 56.0, 56.0, 24.0, 24.0, 22.0, 21.0, 21.0, 38.0, 26.0, 21.0, 21.0, 38.0, 38.0)",10891.541,14
"(19.0, 41.0, 41.0, 30.0, 30.0, 20.0, 19.0, 19.0, 17.0, 5.0, 17.0, 23.0, 17.0)",13231.581,13
"(41.0, 9.0, 9.0, 28.0, 28.0, 13.0, 41.0, 41.0, 38.0, 50.0, 38.0, 41.0, 41.0, 41.0)",13231.788,14
